tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
lose job due outbreaklooking work agriculture sector ideally farm hand similar dm fo,11.156153846153849,14.488579999999999,9.44923076923077,50.470769230769264,56.69230769230769,14.430769230769233,43.769230769230774,13.023866798666859,7.490907692307694,72,4,9,3,1,22,13,13,0.144,0.535,0.321,0.5106,1,0,0,0,0,0,0.0
trump response er chinese actually make popular somebody tell mainstre,12.301000000000002,17.107559100000003,8.370000000000001,52.86500000000001,58.0,12.0,70.0,11.20814326018867,10.814000000000002,61,6,5,2,1,17,10,10,0.0,0.763,0.237,0.4215,0,0,0,0,0,0,0.0
kodwa mele sife one way another akere way go itnot panicking,5.47909090909091,8.236038727272728,6.936363636363637,64.9245454545455,70.81818181818181,11.672727272727274,29.181818181818183,11.20814326018867,4.759654545454547,50,2,7,2,1,17,10,11,0.225,0.775,0.0,-0.4404,0,0,0,0,0,0,0.0
doctor government official call novel novel fictitious prose narrative book length typically represent character action degree realismpay attention fuck idiot,21.304499999999997,23.584796450000006,18.170000000000005,0.4150000000000489,34.5,26.0,65.0,20.267338824336647,16.1955,139,9,5,9,1,44,19,20,0.248,0.584,0.168,-0.4939,0,0,0,0,0,0,0.0
young actor something sayits time zyada savdhan ka punchnama,10.283333333333331,14.884192888888887,7.58666666666667,56.70000000000002,64.55555555555556,3.6,42.333333333333336,3.1291,3.8631333333333338,52,3,3,0,1,15,9,9,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0
could ughh,0.7650000000000006,-4.135114499999997,-3.01,120.20500000000001,194.0,0.8,2.0,3.1291,-3.8106,9,0,2,0,1,2,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
outside mf wanna squirt cab window,4.335000000000001,7.687262500000003,2.4833333333333343,87.94500000000001,90.66666666666666,2.4000000000000004,22.666666666666668,3.1291,0.10986666666666656,29,1,4,0,1,8,6,6,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
si leave may right,-1.7674999999999983,-1.1481827499999984,-2.2299999999999986,118.17500000000001,126.5,1.6,4.0,3.1291,-3.4762,15,0,4,0,1,4,4,4,0.286,0.714,0.0,-0.0516,0,0,0,0,0,0,0.0
guess confuse didnt shut world year ago flu kill people go around number cdc,5.852,6.922084866666669,3.6333333333333364,95.73000000000003,67.0,6.0,21.666666666666668,3.1291,-0.33633333333333315,63,1,13,0,1,17,15,15,0.449,0.488,0.063,-0.836,0,0,0,0,0,0,0.0
banty explain possible reason there monaghan,12.184999999999995,17.487014166666675,6.416666666666668,59.745000000000005,74.0,2.4000000000000004,56.0,3.1291,5.5232,39,3,2,0,1,10,6,6,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
today unintelligible incorrigible task force maga rally people hold k gratefu,12.758181818181818,17.323081181818182,8.009090909090908,57.23363636363638,55.36363636363637,11.672727272727274,38.27272727272727,11.20814326018867,5.344200000000001,67,3,9,2,1,18,11,11,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
Laughing faxxx annoy,8.330000000000002,9.615875333333342,5.246666666666666,62.79000000000002,129.0,1.2000000000000002,36.333333333333336,3.1291,2.859933333333334,18,1,1,0,1,5,3,3,0.408,0.141,0.451,0.0772,0,0,0,0,0,0,0.0
celebrity make sing videos top k case worldwide,6.120000000000001,9.900041000000005,0.8049999999999997,103.54,76.5,3.2,33.0,3.1291,0.8438499999999998,40,2,7,0,1,9,8,8,0.0,0.769,0.231,0.2023,0,0,0,0,0,0,0.0
yall dirty mf bring home miami amp increase hr,1.468,3.583901800000003,1.2900000000000027,103.62500000000001,81.0,4.0,20.0,3.1291,-0.8489999999999998,38,1,9,0,1,11,10,10,0.238,0.574,0.189,-0.1531,0,0,0,0,0,0,0.0
celebrity make sing videos top k case worldwide,6.120000000000001,9.900041000000005,0.8049999999999997,103.54,76.5,3.2,33.0,3.1291,0.8438499999999998,40,2,7,0,1,9,8,8,0.0,0.769,0.231,0.2023,0,0,0,0,0,0,0.0
si leave may right,-1.7674999999999983,-1.1481827499999984,-2.2299999999999986,118.17500000000001,126.5,1.6,4.0,3.1291,-3.4762,15,0,4,0,1,4,4,4,0.286,0.714,0.0,-0.0516,0,0,0,0,0,0,0.0
lose job due outbreaklooking work agriculture sector ideally farm hand similar dm fo,11.156153846153849,14.488579999999999,9.44923076923077,50.470769230769264,56.69230769230769,14.430769230769233,43.769230769230774,13.023866798666859,7.490907692307694,72,4,9,3,1,22,13,13,0.144,0.535,0.321,0.5106,1,0,0,0,0,0,0.0
via south african government amp cyril ramaphosa epidemic call government support south africas hospitality industry sign petition,18.654705882352935,21.888356823529413,13.945882352941176,25.35647058823531,39.588235294117645,20.917647058823533,75.8235294117647,17.122413403193683,14.8874,114,10,8,6,1,33,15,17,0.0,0.856,0.144,0.4019,0,0,0,0,0,0,0.0
hope yall think take 50 flight funny sick asf rn,0.7690909090909095,2.356187727272733,0.5,111.07000000000002,80.81818181818181,4.4,11.0,3.1291,-2.3058,39,0,11,0,1,11,11,11,0.205,0.435,0.36,0.3612,0,0,0,0,0,0,0.0
hope soon happen country neighbour country,10.615000000000002,15.527063833333337,6.416666666666668,59.745000000000005,77.33333333333334,2.4000000000000004,56.0,3.1291,5.5232,37,3,2,0,1,10,5,6,0.0,0.633,0.367,0.4404,0,0,0,0,0,0,0.0
nasty flu go round december early jan tell bare ppl sick includ,4.98,7.212943666666668,2.8566666666666656,95.95500000000001,70.66666666666666,4.800000000000001,20.333333333333336,3.1291,-0.5127666666666664,52,1,10,0,1,14,12,12,0.514,0.486,0.0,-0.8591,0,0,0,0,0,0,0.0
