,0
0,"RT @SenKamalaHarris: There have been more than 187,000 coronavirus deaths nationwide. Keeping all those who have lost family members and fr…"
1,RT @JNJMedDevices: We recently conducted market research that confirmed patients around the globe have considerable concerns about COVID-19…
2,"I always thought I was okay being alone, then I learned I was never really as alone as I thought I was. Because now I’m actually alone and I’m not okay. https://t.co/gFt6Tl0vaE"
3,RT @spencerjones384: Life before COVID &gt;&gt;&gt;&gt;
4,if covid cancels wc2021 im gona be so sad
5,"RT @DrTedros: Absolutely on point, #BTS Jimin!
Together, we can bring this pandemic to an end!
Thank you for offering comfort &amp; healing wor…"
6,"RT @JRehling: US deaths in each:

Benghazi                      4
Gulf War                   146
Sept 11 attacks     2,605
Korean War…"
7,"@realDonaldTrump You’re a FRAUD, a Russian Made Asset to the Kremlin!! I want you Out of The Peoples WH. You Denigrate it Daily and Dont Care Anything about our Military or the 187,000 People who’ve died from Covid!! Screw you and the Foreign A$$hats that are ruining America!!🤬🤑🤮🙄🤯🗽🇺🇸"
8,RT @faisalislam: Govt just changed law to grant emergency planning permission for it to build “temporary” [up to 5 years] no trade deal Bre…
9,"RT @picardonhealth: Our public health heroes are suddenly under attack from amateur virologists and epidemiologists. It’s wrong, and we mus…"
10,"“Coronasomnia,”...could prove to have profound public-health ramifications — creating a massive population of chronic insomniacs grappling w/declines in productivity, shorter fuses &amp; increased risks of hypertension, depression &amp; other health problems.” https://t.co/NmNNek56ZG"
11,"RT @AvriSapir: Let's talk about sex trafficking, child abuse, and sex work in the time of COVID: a thread, written by a survivor of child s…"
12,RT @KlugeJosephB: How fortuitous that the greatest mass murder in US History voluntarily moved to a death penalty state where the death tol…
13,Lost 2kg weight i gained in lockdown 😌🙏
14,RT @washingtonpost: Experts warn U.S. covid-19 deaths could more than double by year’s end https://t.co/h42Ara9yyR
15,"WRCB ▶ Black Americans, hit hardest by the pandemic, feel they're by hurt by both the virus and inequities ... https://t.co/VHb0GaouNE"
16,"And I’m not saying this to make people w/ anxiety feel bad. I’m saying this because COVID will make your anxiety way worse than a mask would. The shortness of breath, weakness in arms, tightness in chest. COVID causes this too which triggers my panic attacks."
17,"RT @SheriHerman10: @NYGovCuomo You are responsible for at least 11,000 COVID deaths."
18,"RT @itsa_talia: deliberately, collectively refusing to wear masks is the leading cause of death for US police officers in 2020"
19,"RT @atrupar: ""We're at 175,000,"" Trump says, falsely, of the coronavirus death toll. There have actually been more than 186,000 deaths. htt…"
20,RT @JonesMrsL: Some lovely ideas here to help those suffering from anxiety @StHelensAcademy @MeadsteadHead @MeadsteadPA @AETAcademies #push…
21,"Can somebody tell the Covid 19 presidential task force that Nigerians have moved on already? If not, where will we get money to live our lives with all these increment in everything? Wat assistance did diz govt provide for d pple to aid their recovery from d man made pandemic."
22,RT @RespectableLaw: I'm close to a breaking point. There's a point in this video where a landlord's maintenance man weeps as he is being fo…
23,"RT @MollyJongFast: Number of coronavirus deaths in Italy today: 10
In England: 13
In France: 20
In japan: 11
In China: 25"
24,"RT @seanhannity: As Death Certificates Finalize, CDC Report Says Whopping 94% COVID Deaths Had ‘Contributing Causes’ https://t.co/AY0Kscuopp"
25,"@maddow We will never get this virus under control. Never. I am stunned. The America that rallied to our allies in WWII, came together on 9/11 and assists the poorest countries in the world can’t be bothered to do these simple things. Socially distance. Wear a mask. For each other."
26,"Dire COVID-19 death toll projections from researchers Trump administration touted 400,000 additional deaths possible in one scenario https://t.co/4acdfmu741 via @nbcnews"
27,"RT @lt4agreements: If the man forced the CDC to lie about a vaccine, imagine the possibilities of what he can do that directly affect our h…"
28,"RT @ProSyndicate: Life in Lockdown.

The new VLOG is out for your faces &lt;3

Enjoy 😊
https://t.co/DukaoGZjE2 https://t.co/BGhLR704vX"
