date,nondepressed,depressed
20-Mar,1996,4288
27-Mar,2929,5134
10-Apr,2612,4781
17-Apr,2859,5687
24-Apr,4719,5609
01-May,4723,6023
08-May,4644,5853
15-May,5741,5009
22-May,4087,6232
29-May,3323,5804
05-Jun,3624,5749
12-Jun,3142,6161
19-Jun,2962,6353
26-Jun,3209,5865
03-Jul,3972,5040
10-Jul,4119,5255
17-Jul,3488,5887
24-Jul,4364,5463
31-Jul,4979,4778
07-Aug,3416,6315
14-Aug,3833,4621
21-Aug,3045,5462
28-Aug,2884,5686
04-Sep,4601,5430
11-Sep,4637,5283
18-Sep,4410,6141
25-Sep,4723,5462
02-Oct,4255,4732
09-Oct,3710,5372
,,
,,
