,tweet
0,Why is tomorrow Monday???  &  LOL
2,@poptartiero eXactly. Like ain't nobody wanna see that when looking at  or
3,The red cups at Starbucks are gone.
4,Packer nation right now...   
5,"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. "
7,cant believe im back at work tomorrow!
10,I'm gonna die because of my fucking finals
11,"Feeling lost, , or having thoughts of ? Help is available. Call us 24/7 at (800) 273-TALK (8255). "
12,Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha
13,Both the Pats and Panthers lose ?????? and my vacation just ended.
14,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! "
15,Watching other NFL teams today emphasizes how pitiful the Eagles are
16,This ruined my whole Sunday!
17,Went to see The Big Short.
18,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!"
20,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!"
22,Anybody wanna switch places with me and go back to Hawaii tomorrow?!
26,I haven't snuggled my little Uigi in SIX days????????
30,I've finished a whole jar of nutella in the past hour
32,people: Dream 3 times more than -depressed people.
34,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!
37,I think I have hit rock bottom as a  fan.... ????
39,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask
43,Being an  fan is why this nation NEEDS tougher gun laws
47,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(
48,"When all your family is out and you're reading a book, good times, good times???? "
49,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.
57,Think ill have a nap - need it after that game
58,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. "
59,So the  s are over...first time I had to celebrate it by own..
60,finally finished one tree hill & now I don't know what to do with my life
62,The worst part of my life is...  Taking down the Christmas Decorations...I am now
63,"Don't be  due to -ve activities of other's-Be  & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance"
69,This is my  stance....  pic.twitter.com/YI7vjfXH05
70,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. "
71,"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. "
