Unnamed: 0,tweet,tweet_processed
0,Why is tomorrow Monday???  &  LOL,why be tomorrow monday Laughing Out Loud
1,I feel like I'm annoying like Always,i feel like im annoy like always
2,@poptartiero eXactly. Like ain't nobody wanna see that when looking at  or,exactly like aint nobody wanna see that when look at or
3,The red cups at Starbucks are gone.,the red cup at starbucks be go
4,Packer nation right now...   ,packer nation right now
5,"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. ",thanks to the giant im go to suffer from serious playoff fomo come january i dont even want to watch their game tonight
6,"Annoyed, sad, disappointed. Can anything go right lately.?   ",annoy sad disappoint can anything go right lately
7,cant believe im back at work tomorrow!,cant believe im back at work tomorrow
8,I wanna die. Stop to cry.,i wanna die stop to cry
9,My God we live in a sick world!   ,my god we live in a sick world
10,I'm gonna die because of my fucking finals,im gonna die because of my fucking final
11,"Feeling lost, , or having thoughts of ? Help is available. Call us 24/7 at (800) 273-TALK (8255). ",feel lose or have thought of help be available call u 7 at 800 talk 8255
12,Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha,be on facetime to chloe when sum1 die on prison break and she go into a full on emotional breakdown hahaha
13,Both the Pats and Panthers lose ?????? and my vacation just ended.,both the pat and panther lose and my vacation just end
14,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",just paracetamol be antipyritique cant anawer correctly due to too much nerve what a shame
15,Watching other NFL teams today emphasizes how pitiful the Eagles are,watch other nfl team today emphasize how pitiful the eagle be
16,This ruined my whole Sunday!,this ruin my whole sunday
17,Went to see The Big Short.,go to see the big short
18,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!",i reaaaallly dont want to go to work tomorrow five day off isnt enough but come wednesday four more cant wait love it
19,"I don't give two shits anymore about anyone who cba with me, your like the cancer that is killing my nan so Fuck you ",i dont give two shit anymore about anyone who cba with me your like the cancer that be kill my nan so fuck you
20,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!",what do You mean ur when You start piss blood You have my complete permission to be depressed count ur blessing
21,I can't even think about football let alone watch it this afternoon,i cant even think about football let alone watch it this afternoon
22,Anybody wanna switch places with me and go back to Hawaii tomorrow?!,anybody wanna switch place with me and go back to hawaii tomorrow
23,Truth is.... I loved you so much. And you broke my heart.,truth be i love you so much and you break my heart
24,We're just sad teens with a happy face,be just sad teen with a happy face
25,Feeling so UnLucky in life..   ??,feel so unlucky in life
26,I haven't snuggled my little Uigi in SIX days????????,i havent snuggle my little uigi in six day
27,That dismissal has me looking for a strong drink :(,that dismissal have me look for a strong drink
28,"Making me so happy that I forget to be  ,   and   . Thank you, baby ????",make me so happy that i forget to be and thank you baby
29,"how much attention does a kid need that he tags  and  on his instagram post, man up lil bih",how much attention do a kid need that he tag and on his instagram post man up lil bih
30,I've finished a whole jar of nutella in the past hour,ive finish a whole jar of nutella in the past hour
31,xmas is over and apart from my kids happy faces its all been a bit meh this year.,xmas be over and apart from my kid happy face it all be a bit meh this year
32,people: Dream 3 times more than -depressed people.,people dream times more than depressed people
33,I am annoyingI tried text my friendshe said she was dealing with something*sigh*I just need someone talk to,i be annoyingi tried text my friendshe say she be deal with somethingsighi just need someone talk to
34,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!,wish spree could stock up on more shoe in the big size range always miss the promotion
35,"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",it suck when you fall hard for someone and then they just leave you like it be nothing
36,I just feelso defeated by life at the moment,i just feelso defeat by life at the moment
37,I think I have hit rock bottom as a  fan.... ????,i think i have hit rock bottom a a fan
38,In my feelings tonite .    # tired,in my feeling tonite tire
39,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask,hard to believe right now but theres a world wait for your contributionjesuschristwillhelpyouaccomplishyourdreamask
40,"I don't want,to be bother such a screw up ",i dont wantto be bother such a screw up
