Unnamed: 0,tweet,tweet_processed,label
0,Why is tomorrow Monday???  &  LOL,why be tomorrow monday Laughing Out Loud,0
2,@poptartiero eXactly. Like ain't nobody wanna see that when looking at  or,exactly like aint nobody wanna see that when look at or,0
3,The red cups at Starbucks are gone.,the red cup at starbucks be go,0
4,Packer nation right now...   ,packer nation right now,0
5,"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. ",thanks to the giant im go to suffer from serious playoff fomo come january i dont even want to watch their game tonight,0
7,cant believe im back at work tomorrow!,cant believe im back at work tomorrow,0
10,I'm gonna die because of my fucking finals,im gonna die because of my fucking final,0
11,"Feeling lost, , or having thoughts of ? Help is available. Call us 24/7 at (800) 273-TALK (8255). ",feel lose or have thought of help be available call u 7 at 800 talk 8255,0
12,Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha,be on facetime to chloe when sum1 die on prison break and she go into a full on emotional breakdown hahaha,0
13,Both the Pats and Panthers lose ?????? and my vacation just ended.,both the pat and panther lose and my vacation just end,0
14,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",just paracetamol be antipyritique cant anawer correctly due to too much nerve what a shame,0
15,Watching other NFL teams today emphasizes how pitiful the Eagles are,watch other nfl team today emphasize how pitiful the eagle be,0
16,This ruined my whole Sunday!,this ruin my whole sunday,0
17,Went to see The Big Short.,go to see the big short,0
18,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!",i reaaaallly dont want to go to work tomorrow five day off isnt enough but come wednesday four more cant wait love it,0
20,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!",what do You mean ur when You start piss blood You have my complete permission to be depressed count ur blessing,0
22,Anybody wanna switch places with me and go back to Hawaii tomorrow?!,anybody wanna switch place with me and go back to hawaii tomorrow,0
26,I haven't snuggled my little Uigi in SIX days????????,i havent snuggle my little uigi in six day,0
30,I've finished a whole jar of nutella in the past hour,ive finish a whole jar of nutella in the past hour,0
32,people: Dream 3 times more than -depressed people.,people dream times more than depressed people,0
34,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!,wish spree could stock up on more shoe in the big size range always miss the promotion,0
37,I think I have hit rock bottom as a  fan.... ????,i think i have hit rock bottom a a fan,0
39,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask,hard to believe right now but theres a world wait for your contributionjesuschristwillhelpyouaccomplishyourdreamask,0
43,Being an  fan is why this nation NEEDS tougher gun laws,be an fan be why this nation need tough gun law,0
47,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,michael have be in bed all day barely functional from car bad cold i have one katman,0
48,"When all your family is out and you're reading a book, good times, good times???? ",when all your family be out and youre read a book good time good time,0
49,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.,well couldnt really have do much more to spoil christmas pointless beat city if we throw it away against saint,0
57,Think ill have a nap - need it after that game,think ill have a nap need it after that game,0
58,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. ",in stthomas cant tweet and watch pll wifi suck,0
59,So the  s are over...first time I had to celebrate it by own..,so the s be overfirst time i have to celebrate it by own,0
60,finally finished one tree hill & now I don't know what to do with my life,finally finish one tree hill now i dont know what to do with my life,0
62,The worst part of my life is...  Taking down the Christmas Decorations...I am now,the bad part of my life be take down the christmas decorationsi be now,0
63,"Don't be  due to -ve activities of other's-Be  & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance",dont be due to ve activity of othersbe understandaddicted of ve ego satisfaction be dangerousmake distance,0
69,This is my  stance....  pic.twitter.com/YI7vjfXH05,this be my stance,0
70,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. ",that feel when you get your draw tablet and your not a pro expert manga drawer right off the bat,0
71,"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. ",realization no matter how long i live all i want for christmas be you will outlast me,0
72,I'm not  or . I always grow my toenails out and don't shave. Duh.,im not or i always grow my toenail out and dont shave duh,0
73,You are not and never will be ALONE. We are all deeply interconnected.,you be not and never will be alone we be all deeply interconnect,0
75,"Well, I didn't receive any presents this year. Maybe it'll receive them in a couple of days or maybe next year.  ??????????????",well i didnt receive any present this year maybe itll receive them in a couple of day or maybe next year,0
76,Damn I'm the only one who didn't get JB tickets??,damn im the only one who didnt get jb ticket,0
78,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,life turn out totally different than you thoughtyoure lose alonedesperately need helpjesuschristhealssavesask,0
80,i didnt get the ariana calendar.,i didnt get the ariana calendar,0
81,"Gene Simmons, Ph.D. offers mental wellbeing to  souls. ",gene simmons phd offer mental wellbeing to souls,0
82,Just finished desperate housewives,just finish desperate housewife,0
83,My bf said him and his parents drunk wrapping gifts ????????,my bf say him and his parent drink wrap gift,0
84,Christmas and gabe is not with me ???? what is life rn.,christmas and gabe be not with me what be life rn,0
85,I just found my first grey hair. Worst Christmas gift EVER. Looks like I will be coloring my hair tomorrow,i just find my first grey hair bad christmas gift ever look like i will be color my hair tomorrow,0
86,All my photos from July disappeared. I could cry. Santa what have you done............,all my photo from july disappear i could cry santa what have you do,0
90,I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now,i just get off work i dont have any food at my house bc leave tomorrow and mcdonalds isnt even open right now,0
91,First Christmas Eve in almost 20 years that I won't be sleeping with @lizwillis_,first christmas eve in almost year that i wont be sleep with,0
92,Wanted to watch the TNF game but I forgot my parents cancelled the NFL Network package ????,want to watch the tnf game but i forget my parent cancel the nfl network package,0
93,Alone? We have no family coming this year..hit me up for a chat! Would love to keep folks company :),alone we have no family come this yearhit me up for a chat would love to keep folk company,0
97,Tonight couldn't feel less like Christmas Eve,tonight couldnt feel less like christmas eve,0
98,Even if she is tipsy I love her -Joe     pic.twitter.com/qHSAqDJN9j,even if she be tipsy i love her joe,0
100,"I need a Harry Hug. Just a hug, nothing else. ",i need a harry hug just a hug nothing else,0
102,It's gutting seeing everyone's snapchats of them getting on it while I'm stuck at work for Christmas and new year,it gutting see everyones snapchats of them get on it while im stuck at work for christmas and new year,0
103,So much for Xmas eve   pic.twitter.com/0hIsigongM,so much for xmas eve,0
105,Its 2:37 & I event left nor have I ate....,it 37 i event leave nor have i eat,0
106,Was called a slut last nightum I'm not oneI don't have sex with every guy I meetget it right people??????,be call a slut last nightum im not onei dont have sex with every guy i meetget it right people,0
107,"when ur really  on xmas eve :,)",when ur really on xmas eve,0
108,I really got a hair cut last night  ??,i really get a hair cut last night,0
110,Laying in bed til work  highlight of my day will be drinking  tonight ??,lay in bed til work highlight of my day will be drink tonight,0
113,Can't go back to sleep and I got work in 2 hours..,cant go back to sleep and i get work in hour,0
116,This time last year I was on a plane to New York...,this time last year i be on a plane to new york,0
117,"Hell's teeth, this day just gets better. No Her earlier; dragged into the office; assumed she was already there. She's not. ",hell teeth this day just get well no her early drag into the office assume she be already there shes not,0
121,"Today, set up 3 coffee dates with people you suspect are ,  or just need to talk.  pic.twitter.com/OgPY3IdGAO",today set up coffee date with people you suspect be or just need to talk,0
123,Why are these fine guys on my timeline? Get off your too hot for me. I can't take it anymore.,why be these fine guy on my timeline get off your too hot for me i cant take it anymore,0
124,"I hate when my sisterssay ""I'm going kill myself"" Ugh so fucking triggering   ",i hate when my sisterssay im go kill myself ugh so fucking trigger,0
125,Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.,happy holiday and merry christmas it a rough time if you be i know it will be over soon,0
126,So I put a movie in for us to watch as a family & I'm the only one here everyone left for bed.    hope ur all ??,so i put a movie in for u to watch a a family im the only one here everyone leave for bed hope ur all,0
127,Had the best week w my ppl but wish there didn't have to be another goodbye,have the best week w my ppl but wish there didnt have to be another goodbye,0
129,I'm now jealous of Georgia Southern. Welcome to my life as an FAU fan.,im now jealous of georgia southern welcome to my life a an fau fan,0
130,Didn't even congratulations on the mixtape ?????????,didnt even congratulation on the mixtape,0
131,"When u have a cute outfit idea, but u got too fat and can't fit in the pants ?? ",when You have a cute outfit idea but You get too fat and cant fit in the pant,0
132,Just watched  .. Now  cause we all know  will never be THAT great! ????,just watch now cause we all know will never be that great,0
133,"At least  is over 26 minutes ago, but the effects of the Twitter torture still lingers inside of me. , .",at least be over minute ago but the effect of the twitter torture still linger inside of me,0
136,We'd be perfect together but Im to shy and you wont reach out so i guess we'll never know what could of been.,wed be perfect together but im to shy and you wont reach out so i guess well never know what could of be,0
138,"When your halfway finished w your drink and you think ""dam, I should've put another shot in there"" ",when your halfway finish w your drink and you think dam i shouldve put another shot in there,0
139,"After watching Kepner and Avery lose their baby, I will forever be scared that that will happen to me.  ",after watch kepner and avery lose their baby i will forever be scar that that will happen to me,0
140,All a Nigga wanna do now send time with his girl . . is that so much to ask ?? Asf,all a nigga wanna do now send time with his girl be that so much to ask asf,0
141,when Martin stole Sonja's pizza on the MG show ep 4????????,when martin steal sonjas pizza on the mg show ep,0
142,Not in the spirit of  . In fact,not in the spirit of in fact,0
144,not to happy about this weather ..,not to happy about this weather,0
145,"My littlest brother is leaving for  tonight. Only like 1-2hours left with him.???????Happy for him,  he is moving.",my little brother be leave for tonight only like 2hours leave with himhappy for him he be move,0
148,Right b4 Christmas & bf breaks the news he's not taking me 2  for my birthday,right Before christmas bf break the news hes not take me for my birthday,0
149,"So close to  just wondering why in feeling so  ""'tis the season to be Jolly""",so close to just wonder why in feeling so ti the season to be jolly,0
150,Brandy is going to a dog hotel for a couple of days,brandy be go to a dog hotel for a couple of day,0
153,This time last year I was getting ready to jet off to Abu Dhabi ????,this time last year i be get ready to jet off to abu dhabi,0
155,I really don't know what I'm going to do about Christmas.,i really dont know what im go to do about christmas,0
157,"You know, late night tv is thematic. Farmer's Only ads mixed in with some Asian chick in a Football jersey talking about Viagra. ",you know late night tv be thematic farmer only ad mix in with some asian chick in a football jersey talk about viagra,0
158,too soon for drinks. Ice cream and a movie  read bad reviews but will the lead get another oscar???,too soon for drink ice cream and a movie read bad review but will the lead get another oscar,0
160,It's been 1 year since my husband and I flew to NYC for Christmas ????????,it be year since my husband and i fly to nyc for christmas,0
161,This has been a long night...,this have be a long night,0
164,"For 2016 - Up my  game,  move out of  (since London is too expensive), beat  and maybe settle down with someone :)",for up my game move out of since london be too expensive beat and maybe settle down with someone,0
166,"""And when I'm laying in my bed, I think about life and I think about death...neither one...appeals to me. ""  ",and when im laying in my bed i think about life and i think about deathneither oneappeals to me,0
168,that u can't get a dr's note to excuse u from work b/c of your . So u go 2 work anyway & fake it.,that You cant get a drs note to excuse You from work bc of your so You go work anyway fake it,0
170,If  is an issue for you tonight then call the Samaritans (116 123) or Breathing Space (0800 83 85 87),if be an issue for you tonight then call the samaritan 116 or breathe space 0800,0
172,"8 years ago I was at rock bottom, crippled by . Since then I've come a long way & I'm sure 2016 will continue the upward trend!",year ago i be at rock bottom cripple by since then ive come a long way im sure will continue the upward trend,0
174,"I woke up and said ""I should get a cat.""  ",i wake up and say i should get a cat,0
176,"For all of those who suffer from   and find NYE difficult, I know we can get through it together.",for all of those who suffer from and find nye difficult i know we can get through it together,0
178,", , and  can be scary. Call 314-645-1567 to turn those monsters into smaller obstacles!  ",and can be scary call 6451567 to turn those monster into small obstacle,0
179,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  pic.twitter.com/gbkOpobFY3,be in the news a lot for treat and other condition but what be it contact u to learn more,0
180,I can't believe the amount of junk food and how long it's lasted in my kitchen 'sabitch,i cant believe the amount of junk food and how long it last in my kitchen sabitch,0
181,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!,we want to help you with your give our office a call to learn how may be the treatment youve be wait for,0
182,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!,we want to help you with your give our office a call to learn how may be the treatment youve be wait for,0
184,And just like that Texas Christmas Reunion is over  ??,and just like that texas christmas reunion be over,0
186,RT StayYoungMedia Cure your  without the harmful side effects of   pic.twitter.com/QZzAgrOZbb,stayyoungmedia cure your without the harmful side effect of,0
187,RT findrealhealth Using  to manage  or ? Learn the side effects   pic.twitter.com/nGJndXHvlm,findrealhealth use to manage or learn the side effect,0
188,It's not always the tears that measure the pain. Sometimes it's the smile we fake.,it not always the tear that measure the pain sometimes it the smile we fake,0
189,The worst kind of pain is keeping yourself laughing to avoid the tears from falling.   ,the bad kind of pain be keep yourself laugh to avoid the tear from fall,0
190,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,be in the news a lot for treat and other condition but what be it contact u to learn more,0
