Unnamed: 0,tweet,tweet_processed
1,I feel like I'm annoying like Always,i feel like im annoy like always
6,"Annoyed, sad, disappointed. Can anything go right lately.?   ",annoy sad disappoint can anything go right lately
8,I wanna die. Stop to cry.,i wanna die stop to cry
9,My God we live in a sick world!   ,my god we live in a sick world
19,"I don't give two shits anymore about anyone who cba with me, your like the cancer that is killing my nan so Fuck you ",i dont give two shit anymore about anyone who cba with me your like the cancer that be kill my nan so fuck you
21,I can't even think about football let alone watch it this afternoon,i cant even think about football let alone watch it this afternoon
23,Truth is.... I loved you so much. And you broke my heart.,truth be i love you so much and you break my heart
24,We're just sad teens with a happy face,be just sad teen with a happy face
25,Feeling so UnLucky in life..   ??,feel so unlucky in life
27,That dismissal has me looking for a strong drink :(,that dismissal have me look for a strong drink
28,"Making me so happy that I forget to be  ,   and   . Thank you, baby ????",make me so happy that i forget to be and thank you baby
29,"how much attention does a kid need that he tags  and  on his instagram post, man up lil bih",how much attention do a kid need that he tag and on his instagram post man up lil bih
31,xmas is over and apart from my kids happy faces its all been a bit meh this year.,xmas be over and apart from my kid happy face it all be a bit meh this year
33,I am annoyingI tried text my friendshe said she was dealing with something*sigh*I just need someone talk to,i be annoyingi tried text my friendshe say she be deal with somethingsighi just need someone talk to
35,"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",it suck when you fall hard for someone and then they just leave you like it be nothing
36,I just feelso defeated by life at the moment,i just feelso defeat by life at the moment
38,In my feelings tonite .    # tired,in my feeling tonite tire
40,"I don't want,to be bother such a screw up ",i dont wantto be bother such a screw up
41,I just don't want to participate anymore.,i just dont want to participate anymore
42,Me and Cj just broke up,me and cj just break up
44,"Well, goodbye gents, my life is over...  ",well goodbye gent my life be over
45,I am so  that I am  today,i be so that i be today
46,Haven't seen the sun in weeks!!  ??,havent see the sun in week
50,I feel so attacked all the time ??,i feel so attack all the time
51,"If  ""ME"" is too light enough to float in the air , this ""ME"" will fall down to the point called suicide.    ",if me be too light enough to float in the air this me will fall down to the point call suicide
52,Why do i always get treated like this...ugh!!!,why do i always get treat like thisugh
53,Why the hell is no one around when I need them,why the hell be no one around when i need them
54,"Everything seems wrong and I don't know what to do anymore, it's just so hard   ",everything seem wrong and i dont know what to do anymore it just so hard
55,I don't think anyone fully comprehends how my back pain affects me emotionally.,i dont think anyone fully comprehend how my back pain affect me emotionally
56,A lot of  and  people out there looking for  but can't find it...,a lot of and people out there look for but cant find it
61,"Sleep always makes the pain go away. It might not be for long, but at least it's gone. ",sleep always make the pain go away it might not be for long but at least it go
