,tweet
0,Why is tomorrow Monday???  &  LOL
1,I feel like I'm annoying like Always
2,@poptartiero eXactly. Like ain't nobody wanna see that when looking at  or
3,The red cups at Starbucks are gone.
4,Packer nation right now...   
5,"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. "
6,"Annoyed, sad, disappointed. Can anything go right lately.?   "
7,cant believe im back at work tomorrow!
8,I wanna die. Stop to cry.
9,My God we live in a sick world!   
10,I'm gonna die because of my fucking finals
11,"Feeling lost, , or having thoughts of ? Help is available. Call us 24/7 at (800) 273-TALK (8255). "
12,Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha
13,Both the Pats and Panthers lose ?????? and my vacation just ended.
14,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! "
15,Watching other NFL teams today emphasizes how pitiful the Eagles are
16,This ruined my whole Sunday!
17,Went to see The Big Short.
18,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!"
19,"I don't give two shits anymore about anyone who cba with me, your like the cancer that is killing my nan so Fuck you "
20,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!"
21,I can't even think about football let alone watch it this afternoon
22,Anybody wanna switch places with me and go back to Hawaii tomorrow?!
23,Truth is.... I loved you so much. And you broke my heart.
24,We're just sad teens with a happy face
25,Feeling so UnLucky in life..   ??
26,I haven't snuggled my little Uigi in SIX days????????
27,That dismissal has me looking for a strong drink :(
28,"Making me so happy that I forget to be  ,   and   . Thank you, baby ????"
29,"how much attention does a kid need that he tags  and  on his instagram post, man up lil bih"
30,I've finished a whole jar of nutella in the past hour
31,xmas is over and apart from my kids happy faces its all been a bit meh this year.
32,people: Dream 3 times more than -depressed people.
33,I am annoyingI tried text my friendshe said she was dealing with something*sigh*I just need someone talk to
34,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!
35,"it sucks when you fall hard for someone, and then they just leave you like it was nothing. "
36,I just feelso defeated by life at the moment
37,I think I have hit rock bottom as a  fan.... ????
38,In my feelings tonite .    # tired
39,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask
40,"I don't want,to be bother such a screw up "
41,I just don't want to participate anymore.
42,Me and Cj just broke up
43,Being an  fan is why this nation NEEDS tougher gun laws
44,"Well, goodbye gents, my life is over...  "
45,I am so  that I am  today
46,Haven't seen the sun in weeks!!  ??
47,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(
48,"When all your family is out and you're reading a book, good times, good times???? "
49,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.
50,I feel so attacked all the time ??
51,"If  ""ME"" is too light enough to float in the air , this ""ME"" will fall down to the point called suicide.    "
52,Why do i always get treated like this...ugh!!!
53,Why the hell is no one around when I need them
54,"Everything seems wrong and I don't know what to do anymore, it's just so hard   "
55,I don't think anyone fully comprehends how my back pain affects me emotionally.
56,A lot of  and  people out there looking for  but can't find it...
57,Think ill have a nap - need it after that game
58,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. "
59,So the  s are over...first time I had to celebrate it by own..
60,finally finished one tree hill & now I don't know what to do with my life
61,"Sleep always makes the pain go away. It might not be for long, but at least it's gone. "
62,The worst part of my life is...  Taking down the Christmas Decorations...I am now
63,"Don't be  due to -ve activities of other's-Be  & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance"
64,"It's sucks when you don't know what is wrong, but you know something is wrong. .   "
65,Bored as fucking shit christmas in a hospital isnt so fucking fun
66,"Why is it that every one gets  what I want,  I guess  whatever...   "
67,wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you
68,Christmas just ain't what it used to be.
69,This is my  stance....  pic.twitter.com/YI7vjfXH05
70,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. "
71,"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. "
72,I'm not  or . I always grow my toenails out and don't shave. Duh.
73,You are not and never will be ALONE. We are all deeply interconnected.
74,"Emotional day, well time of the year for me "
75,"Well, I didn't receive any presents this year. Maybe it'll receive them in a couple of days or maybe next year.  ??????????????"
76,Damn I'm the only one who didn't get JB tickets??
77,"Yet another  all alone, with no family, nobody at all apart from my pets.  I just feel like crying"
78,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK
79,"..I know he wouldn't want me to cry or be , I heard that a million times along the way, but it's easier said then done. Miss him."
80,i didnt get the ariana calendar.
81,"Gene Simmons, Ph.D. offers mental wellbeing to  souls. "
82,Just finished desperate housewives
83,My bf said him and his parents drunk wrapping gifts ????????
84,Christmas and gabe is not with me ???? what is life rn.
85,I just found my first grey hair. Worst Christmas gift EVER. Looks like I will be coloring my hair tomorrow
86,All my photos from July disappeared. I could cry. Santa what have you done............
87,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  "
88,Where I thought I'd be tonight and who I'm with are not what I had in mind for Christmas.
89,First yr not being around my dad on da holidays n it's breaking my heart  I wish he just call me that's all i want 4 Christmas
90,I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now
91,First Christmas Eve in almost 20 years that I won't be sleeping with @lizwillis_
92,Wanted to watch the TNF game but I forgot my parents cancelled the NFL Network package ????
93,Alone? We have no family coming this year..hit me up for a chat! Would love to keep folks company :)
94,Can people please stop posting pics with their families. Thanks.
95,All I want for Christmas is my daughters to come home ?? is that to much
96,"Being clinically  is not the same thing as having a bad day now and then. It's a relentless, debilitating disease"
97,Tonight couldn't feel less like Christmas Eve
98,Even if she is tipsy I love her -Joe     pic.twitter.com/qHSAqDJN9j
99,Well another day almost gone. So crawling back into my hole and hiding now.
100,"I need a Harry Hug. Just a hug, nothing else. "
101,I feel like I'm just waiting for the day to be over to get to the next day so I'll be one day closer to my life changing.
102,It's gutting seeing everyone's snapchats of them getting on it while I'm stuck at work for Christmas and new year
103,So much for Xmas eve   pic.twitter.com/0hIsigongM
104,So my blood pressure is back up
105,Its 2:37 & I event left nor have I ate....
106,Was called a slut last nightum I'm not oneI don't have sex with every guy I meetget it right people??????
107,"when ur really  on xmas eve :,)"
108,I really got a hair cut last night  ??
109,The 1st thing I do when I'm  is look up sad things. I think I need to be looking up happy things instead.  pic.twitter.com/7h5BkVZKB8
110,Laying in bed til work  highlight of my day will be drinking  tonight ??
111,"I'm not suicidal. But I admit, there are moments where I wonder... "
112,No one understands me... myself included...
113,Can't go back to sleep and I got work in 2 hours..
114,It's very hard to feel better because it's been so long that I don't remember what better felt like!!
115,"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  "
116,This time last year I was on a plane to New York...
117,"Hell's teeth, this day just gets better. No Her earlier; dragged into the office; assumed she was already there. She's not. "
118,Don't feel good at all right now    no one to talk to
119,HealthTap: I haven't eaten anything all day because I feel  and low What should I do? 
120,I am so sad I have to work on Christmas. My favorite time of year & I'm gonna be working &/or alone in my apartment ??????????
121,"Today, set up 3 coffee dates with people you suspect are ,  or just need to talk.  pic.twitter.com/OgPY3IdGAO"
122,Tonight ended exactly how I didn't want it to
123,Why are these fine guys on my timeline? Get off your too hot for me. I can't take it anymore.
124,"I hate when my sisterssay ""I'm going kill myself"" Ugh so fucking triggering   "
125,Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.
126,So I put a movie in for us to watch as a family & I'm the only one here everyone left for bed.    hope ur all ??
127,Had the best week w my ppl but wish there didn't have to be another goodbye
128,"This time of the year is USUALLY full of excitement, not for me "
129,I'm now jealous of Georgia Southern. Welcome to my life as an FAU fan.
130,Didn't even congratulations on the mixtape ?????????
131,"When u have a cute outfit idea, but u got too fat and can't fit in the pants ?? "
132,Just watched  .. Now  cause we all know  will never be THAT great! ????
133,"At least  is over 26 minutes ago, but the effects of the Twitter torture still lingers inside of me. , ."
134,Feeling like a worthless piece of trash ????
135,So not in the mood for all this Christmas shit   #
136,We'd be perfect together but Im to shy and you wont reach out so i guess we'll never know what could of been.
137,Can't believe this Christmas is going to be a repeat of last year.
138,"When your halfway finished w your drink and you think ""dam, I should've put another shot in there"" "
139,"After watching Kepner and Avery lose their baby, I will forever be scared that that will happen to me.  "
140,All a Nigga wanna do now send time with his girl . . is that so much to ask ?? Asf
141,when Martin stole Sonja's pizza on the MG show ep 4????????
142,Not in the spirit of  . In fact
143,When you go do that it makes me feel like I'm horrible at it I'm sorry
144,not to happy about this weather ..
145,"My littlest brother is leaving for  tonight. Only like 1-2hours left with him.???????Happy for him,  he is moving."
146,Man it's terrible when your  an got a lot of problems more then you can say.
147,One of the saddest day of this year for me ??    ( hope to get out of it soon) ??
148,Right b4 Christmas & bf breaks the news he's not taking me 2  for my birthday
149,"So close to  just wondering why in feeling so  ""'tis the season to be Jolly"""
150,Brandy is going to a dog hotel for a couple of days
151,"When bad dreams come true, got me feeling like Crapulet "
152,"Knowing you can help someone , but you can't even help yourself   "
153,This time last year I was getting ready to jet off to Abu Dhabi ????
154,"Personally, I do not have the ""energy"" to celebrate Christmas -___-  "
155,I really don't know what I'm going to do about Christmas.
156,"Im  home . Feeling very low, and unwanted especially by my own family.Feeling very  !!"
157,"You know, late night tv is thematic. Farmer's Only ads mixed in with some Asian chick in a Football jersey talking about Viagra. "
158,too soon for drinks. Ice cream and a movie  read bad reviews but will the lead get another oscar???
159,When i just keep hating my life due the others that put an extreme pressure on me...    
160,It's been 1 year since my husband and I flew to NYC for Christmas ????????
161,This has been a long night...
162,This night was supposed to be fun but its really not...
163,Sudden feeling of darkness.... Show me the light Ray I'm feeling pretty hopeless
164,"For 2016 - Up my  game,  move out of  (since London is too expensive), beat  and maybe settle down with someone :)"
165,"My brain caught a bug, Or maybe it was my heart, Darkness gives a fucj    "
166,"""And when I'm laying in my bed, I think about life and I think about death...neither one...appeals to me. ""  "
167,Wake me up in March.
168,that u can't get a dr's note to excuse u from work b/c of your . So u go 2 work anyway & fake it.
169,It creeps up on you    
170,If  is an issue for you tonight then call the Samaritans (116 123) or Breathing Space (0800 83 85 87)
171,Is it weird that my  and   turns bad when it comes to  ?
172,"8 years ago I was at rock bottom, crippled by . Since then I've come a long way & I'm sure 2016 will continue the upward trend!"
173,Im like lost without waterfowl hunting or bowfishing.
174,"I woke up and said ""I should get a cat.""  "
175,"Just a thought, have I become afraid of things, safety in routine, what I know? ?  "
176,"For all of those who suffer from   and find NYE difficult, I know we can get through it together."
177,surrounded by winter and constantly aware of it (
178,", , and  can be scary. Call 314-645-1567 to turn those monsters into smaller obstacles!  "
179,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  pic.twitter.com/gbkOpobFY3
180,I can't believe the amount of junk food and how long it's lasted in my kitchen 'sabitch
181,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!
182,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!
183,feeling so alone and misunderstood.
184,And just like that Texas Christmas Reunion is over  ??
185,"Nobody understands, I don't even understand most of the time..... "
186,RT StayYoungMedia Cure your  without the harmful side effects of   pic.twitter.com/QZzAgrOZbb
187,RT findrealhealth Using  to manage  or ? Learn the side effects   pic.twitter.com/nGJndXHvlm
188,It's not always the tears that measure the pain. Sometimes it's the smile we fake.
189,The worst kind of pain is keeping yourself laughing to avoid the tears from falling.   
190,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! 
191,":) I hate this emo and this feeling ""fake smile"" "
192,"Another -like drug that may hold out some hope for rapid treatment of  is lanicemine (Sanacora G, Mol Psychiatry. 2014)"
193,"Possible 2016 treatment breakthrough for  and suicidal thinking using ketamine & similar drugs? (Rajkumar R, Pharmacol Res, 2015)"
194,We offer  Therapy to our patients to treat  and other conditions. Contact us today to learn more.  pic.twitter.com/7AO84RAPNY
195,"RT keithllbllm Happy New Year- try to have more Worth Living moments of hope, health &  happiness.   pic.twitter.com/rez61PZZVj"
196,why doesnt she like meeeeeeeeeee
197,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  
198,"You can take steps at home to help your day to day , but we are also here to help. Contact us today.  pic.twitter.com/HFmoqiu7sU"
199,Depression and man flu good end to the year
200,Just you wait and see the girl you once called fat will be the girl you wish you could have   pic.twitter.com/fCdBFrEys7
201,I can still fucking hear you bitch.
202,"Mom talks about suicides and ""how people are selfish and we should NOT go to their funerals"" and shuts my door.  "
203,"May the new year abound in Hs: Health, Hope, Healing, Happiness And H-coils!     "
204,I'm welcoming  after my first full calendar year since overcoming . This year I go all the way to realms uncharted.
205,Shout out to everyone with  preparing to put their mask on & pretend to be happy for .  Icy bubble all over
206,Spare a thought tonight for all those suffering from  - it's not easy when you feel down and everyone around you is celebrating.
207,RT if you ever beat or battle with
208,"If you are living with , , don't fall for the so-called ""cure"" peddlers here on Twitter. Seek professional medical help."
209,Already losing my mind. 6 weeks of this shit of no work or working out left.
210,RT AnotherAznTart I shared this last year but it still makes me giggle so I'll share it again. ?   
211,Its only 3 oclock in the afternoon and its dark and raining  Like mad! I hate this so much!
212,"I find it hard today to be grateful for 2015. I had hoped for more progress in my recovery. So, i let you go 2015.  "
213,"I'm now casting for potential  for my ""Learning to swim"" photography project about .  pic.twitter.com/rnJp6UX2eV"
214,Broken As I take this shattered glass And run it down my skin I hope for you the best In your devilish sin
215,"Dark place last year, I don't want to ever go back to that!   "
216,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! 
